fileName, processingTime, fitness
100.460.377328835.cnf,0.0,444
100.460.387910811.cnf,0.0,450
100.460.472121275.cnf,0.015625,447
100.460.492020851.cnf,0.0,449
100.460.494726053.cnf,0.0,445
100.460.501195765.cnf,0.0,445
100.460.531137970.cnf,0.0,442
100.460.543285046.cnf,0.0,446
100.460.560748751.cnf,0.0,448
100.460.597351851.cnf,0.0,448
100.460.620825221.cnf,0.0,447
100.460.655149865.cnf,0.0,447
100.460.673819371.cnf,0.015625,441
100.460.700577847.cnf,0.0,442
100.460.701101784.cnf,0.0,449
100.460.745058687.cnf,0.0,444
100.460.798117943.cnf,0.0,449
100.460.80870092.cnf,0.0,452
100.460.815142642.cnf,0.0,450
100.460.817401592.cnf,0.0,444
100.460.852152153.cnf,0.0,447
100.460.85539484.cnf,0.0,449
100.460.90785379.cnf,0.0,444
100.460.921850402.cnf,0.0,451
100.460.943901411.cnf,0.0,444
100.460.962406099.cnf,0.0,446
100.460.991891494.cnf,0.015625,449
